,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
48,Shot Chart Detail,0020900109,215,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,58,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,-2,1,1,20091111,IND,GSW
49,Shot Chart Detail,0020900109,221,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,84,175,1,0,20091111,IND,GSW
50,Shot Chart Detail,0020900109,457,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-23,225,1,1,20091111,IND,GSW
51,Shot Chart Detail,0020900109,491,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-174,194,1,0,20091111,IND,GSW
52,Shot Chart Detail,0020900109,495,201939,Stephen Curry,1610612744,Golden State Warriors,4,3,58,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,0,20091111,IND,GSW
53,Shot Chart Detail,0020900109,539,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-212,-14,1,1,20091111,IND,GSW
54,Shot Chart Detail,0020900109,551,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,8,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-248,-13,1,0,20091111,IND,GSW
55,Shot Chart Detail,0020900141,128,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,22,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-67,123,1,1,20091114,MIL,GSW
56,Shot Chart Detail,0020900141,138,201939,Stephen Curry,1610612744,Golden State Warriors,2,11,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091114,MIL,GSW
57,Shot Chart Detail,0020900141,144,201939,Stephen Curry,1610612744,Golden State Warriors,2,11,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,129,19,1,0,20091114,MIL,GSW
58,Shot Chart Detail,0020900141,160,201939,Stephen Curry,1610612744,Golden State Warriors,2,9,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091114,MIL,GSW
59,Shot Chart Detail,0020900141,165,201939,Stephen Curry,1610612744,Golden State Warriors,2,9,12,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,-2,1,1,20091114,MIL,GSW
60,Shot Chart Detail,0020900141,344,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091114,MIL,GSW
61,Shot Chart Detail,0020900141,351,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,26,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-15,137,1,1,20091114,MIL,GSW
62,Shot Chart Detail,0020900141,360,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-142,257,1,1,20091114,MIL,GSW
63,Shot Chart Detail,0020900141,432,201939,Stephen Curry,1610612744,Golden State Warriors,4,7,17,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091114,MIL,GSW
64,Shot Chart Detail,0020900150,3,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-111,137,1,1,20091117,CLE,GSW
65,Shot Chart Detail,0020900150,19,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,154,200,1,0,20091117,CLE,GSW
66,Shot Chart Detail,0020900150,41,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,1,1,1,20091117,CLE,GSW
67,Shot Chart Detail,0020900150,245,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,1,1,1,20091117,CLE,GSW
68,Shot Chart Detail,0020900150,292,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,6,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,228,83,1,0,20091117,CLE,GSW
69,Shot Chart Detail,0020900150,333,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,1,20091117,CLE,GSW
70,Shot Chart Detail,0020900150,341,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,19,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,239,7,1,1,20091117,CLE,GSW
71,Shot Chart Detail,0020900150,357,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,35,-166,312,1,0,20091117,CLE,GSW
72,Shot Chart Detail,0020900150,371,201939,Stephen Curry,1610612744,Golden State Warriors,4,11,8,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,-242,78,1,1,20091117,CLE,GSW
73,Shot Chart Detail,0020900150,384,201939,Stephen Curry,1610612744,Golden State Warriors,4,9,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-37,247,1,0,20091117,CLE,GSW
74,Shot Chart Detail,0020900163,12,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,9,190,1,0,20091118,BOS,GSW
75,Shot Chart Detail,0020900163,51,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,1,0,20091118,BOS,GSW
76,Shot Chart Detail,0020900163,137,201939,Stephen Curry,1610612744,Golden State Warriors,2,10,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-234,99,1,1,20091118,BOS,GSW
77,Shot Chart Detail,0020900163,170,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,45,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,1,20091118,BOS,GSW
78,Shot Chart Detail,0020900163,174,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,12,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,12,176,1,1,20091118,BOS,GSW
79,Shot Chart Detail,0020900163,177,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-138,208,1,0,20091118,BOS,GSW
80,Shot Chart Detail,0020900163,219,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,132,213,1,0,20091118,BOS,GSW
81,Shot Chart Detail,0020900163,417,201939,Stephen Curry,1610612744,Golden State Warriors,4,9,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,23,113,205,1,0,20091118,BOS,GSW
82,Shot Chart Detail,0020900163,433,201939,Stephen Curry,1610612744,Golden State Warriors,4,7,45,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,75,48,1,1,20091118,BOS,GSW
83,Shot Chart Detail,0020900163,438,201939,Stephen Curry,1610612744,Golden State Warriors,4,7,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,15,250,1,0,20091118,BOS,GSW
84,Shot Chart Detail,0020900181,24,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,168,209,1,0,20091120,GSW,POR
85,Shot Chart Detail,0020900181,69,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,29,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-155,220,1,1,20091120,GSW,POR
86,Shot Chart Detail,0020900181,156,201939,Stephen Curry,1610612744,Golden State Warriors,2,9,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,133,89,1,0,20091120,GSW,POR
87,Shot Chart Detail,0020900181,212,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,83,162,1,0,20091120,GSW,POR
88,Shot Chart Detail,0020900181,249,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,29,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-134,235,1,1,20091120,GSW,POR
89,Shot Chart Detail,0020900181,288,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,11,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,59,183,1,0,20091120,GSW,POR
90,Shot Chart Detail,0020900181,307,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,34,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,31,189,1,1,20091120,GSW,POR
91,Shot Chart Detail,0020900181,380,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-106,124,1,0,20091120,GSW,POR
92,Shot Chart Detail,0020900181,467,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,16,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-4,74,1,0,20091120,GSW,POR
93,Shot Chart Detail,0020900204,26,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,72,238,1,0,20091124,DAL,GSW
94,Shot Chart Detail,0020900204,87,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,43,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-73,89,1,1,20091124,DAL,GSW
95,Shot Chart Detail,0020900204,171,201939,Stephen Curry,1610612744,Golden State Warriors,2,10,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091124,DAL,GSW
96,Shot Chart Detail,0020900204,196,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-142,89,1,0,20091124,DAL,GSW
97,Shot Chart Detail,0020900204,226,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,196,162,1,1,20091124,DAL,GSW
98,Shot Chart Detail,0020900204,244,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,24,192,1,0,20091124,DAL,GSW
99,Shot Chart Detail,0020900204,247,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,59,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,36,1,0,20091124,DAL,GSW
100,Shot Chart Detail,0020900204,362,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-138,110,1,0,20091124,DAL,GSW
101,Shot Chart Detail,0020900204,485,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091124,DAL,GSW
102,Shot Chart Detail,0020900204,487,201939,Stephen Curry,1610612744,Golden State Warriors,4,3,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-40,186,1,1,20091124,DAL,GSW
103,Shot Chart Detail,0020900204,501,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-182,159,1,1,20091124,DAL,GSW
104,Shot Chart Detail,0020900204,511,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,8,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,75,56,1,1,20091124,DAL,GSW
105,Shot Chart Detail,0020900216,7,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,176,178,1,1,20091125,SAS,GSW
106,Shot Chart Detail,0020900216,20,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,158,213,1,0,20091125,SAS,GSW
107,Shot Chart Detail,0020900216,33,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-158,-14,1,0,20091125,SAS,GSW
108,Shot Chart Detail,0020900216,53,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,18,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-103,132,1,0,20091125,SAS,GSW
109,Shot Chart Detail,0020900216,210,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,11,1,0,20091125,SAS,GSW
110,Shot Chart Detail,0020900216,216,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,46,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-221,25,1,0,20091125,SAS,GSW
111,Shot Chart Detail,0020900216,242,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,35,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,2,162,1,0,20091125,SAS,GSW
112,Shot Chart Detail,0020900216,269,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,12,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-64,33,1,0,20091125,SAS,GSW
