iter	Accuracy	Logloss
217	0.9936284373	0.1761401692
218	0.9936284373	0.1751543226
219	0.9936284373	0.1746959078
220	0.9937402191	0.173255518
221	0.9939637827	0.1724108456
222	0.9944109099	0.1713497837
223	0.9946344735	0.1702509058
224	0.9947462553	0.1688350788
225	0.9948580371	0.1682411199
226	0.9953051643	0.166398722
227	0.9953051643	0.1652954382
228	0.9955287279	0.1641250911
229	0.9957522915	0.1628155682
230	0.9956405097	0.1622691982
231	0.9955287279	0.1618539922
232	0.9958640733	0.1609124005
233	0.9959758551	0.1601598346
234	0.9960876369	0.1596713961
235	0.9966465459	0.1586463723
236	0.9967583277	0.1583046621
237	0.9966465459	0.1570883455
238	0.9965347641	0.1559977035
239	0.9965347641	0.1548931706
240	0.9967583277	0.1542535473
241	0.9967583277	0.1534650194
242	0.9970936732	0.1528775589
243	0.9969818913	0.1518070031
244	0.9970936732	0.1513659453
245	0.9973172368	0.1509948327
246	0.9973172368	0.150465872
247	0.9974290186	0.149687081
248	0.9973172368	0.1493609488
249	0.9973172368	0.1483353839
250	0.9973172368	0.147747439
251	0.9973172368	0.1471137702
252	0.9975408004	0.1462860469
253	0.9975408004	0.1454024903
254	0.9975408004	0.1448789842
255	0.997764364	0.1441637767
256	0.9978761458	0.1440579309
257	0.9978761458	0.143837592
258	0.9978761458	0.1435475122
259	0.9980997094	0.1424135552
260	0.9980997094	0.1419419981
261	0.9980997094	0.1409760699
262	0.9982114912	0.1401544449
263	0.9980997094	0.1395982509
264	0.9982114912	0.1388165604
265	0.9982114912	0.1372622483
266	0.9982114912	0.1367579198
267	0.9982114912	0.1359416927
268	0.9982114912	0.1351478
269	0.9982114912	0.1344458847
270	0.9982114912	0.1340317429
271	0.9982114912	0.1336270884
272	0.9982114912	0.1332852398
273	0.998323273	0.1329652754
274	0.9984350548	0.1322976064
275	0.9984350548	0.1318195277
276	0.9984350548	0.1316402019
277	0.9984350548	0.1312917121
278	0.9984350548	0.1308398244
279	0.9984350548	0.130131515
280	0.9984350548	0.1295429692
281	0.9985468366	0.1286200595
282	0.9985468366	0.1274141726
283	0.9985468366	0.1266717622
284	0.9985468366	0.1262861692
285	0.9985468366	0.1262777804
286	0.9986586184	0.126022983
287	0.9986586184	0.1254027332
288	0.9986586184	0.1243600603
289	0.9986586184	0.1241327174
290	0.9986586184	0.123618516
291	0.9985468366	0.1233547996
292	0.9985468366	0.1226899981
293	0.9986586184	0.1219923559
294	0.9986586184	0.1212220099
295	0.998882182	0.1205566733
296	0.998882182	0.11975505
297	0.9989939638	0.1190217902
298	0.9989939638	0.1188223384
299	0.9989939638	0.1184463893
300	0.9989939638	0.1175463618
301	0.9991057456	0.1167494177
302	0.9991057456	0.1163046192
303	0.9991057456	0.11591328
304	0.9989939638	0.1153343913
305	0.9991057456	0.11473032
306	0.9991057456	0.1140063968
307	0.9991057456	0.1132986824
308	0.9991057456	0.1128273442
309	0.9991057456	0.1121600817
310	0.9992175274	0.1113670708
311	0.9992175274	0.1111699517
312	0.9992175274	0.1105784887
313	0.9992175274	0.1099710976
314	0.9992175274	0.1094523992
315	0.9992175274	0.1089269381
316	0.9993293092	0.108597674
317	0.999441091	0.1073694867
318	0.999441091	0.1069322122
319	0.999441091	0.1065737433
320	0.999441091	0.1058137803
321	0.9993293092	0.1054746379
322	0.9993293092	0.1050804441
323	0.9993293092	0.1047373551
324	0.9993293092	0.1044133233
325	0.9992175274	0.1039964275
326	0.9992175274	0.103756119
327	0.9993293092	0.1035551221
328	0.9993293092	0.1028433734
329	0.999441091	0.1024083971
330	0.999441091	0.1021130006
331	0.9993293092	0.1014515327
332	0.9993293092	0.1007965876
333	0.999441091	0.1003306116
334	0.999441091	0.1000679269
335	0.999441091	0.09985617933
336	0.9995528728	0.09970466349
337	0.9995528728	0.09929279594
338	0.9995528728	0.09911516629
339	0.9995528728	0.09861422847
340	0.9995528728	0.09807857725
341	0.9995528728	0.09776926895
342	0.9995528728	0.09760630701
343	0.9995528728	0.09707564117
344	0.9995528728	0.0966195841
345	0.9995528728	0.09587199712
346	0.9996646546	0.09541960129
347	0.9995528728	0.09494583856
348	0.9995528728	0.09451288806
349	0.9996646546	0.0941584724
350	0.9996646546	0.09399540753
351	0.9995528728	0.09350083734
352	0.9995528728	0.09311263531
353	0.9996646546	0.09281994133
354	0.9996646546	0.09240851215
355	0.9997764364	0.09190212296
356	0.9996646546	0.09147754522
357	0.9997764364	0.09084132138
358	0.9997764364	0.09070531733
359	0.9997764364	0.09009831531
360	0.9997764364	0.08961416597
361	0.9998882182	0.08926698658
362	0.9997764364	0.08888709024
363	0.9997764364	0.08785854415
364	0.9998882182	0.08759205821
365	0.9998882182	0.0875166583
366	0.9997764364	0.08677230192
367	0.9998882182	0.08618571043
368	0.9998882182	0.08609676195
369	0.9997764364	0.08578295001
370	0.9997764364	0.08521602359
371	0.9997764364	0.08486230856
372	0.9997764364	0.08463089114
373	0.9997764364	0.08444491386
374	0.9997764364	0.08417190735
375	0.9997764364	0.0837849543
376	0.9998882182	0.0833403211
377	0.9997764364	0.08309459122
378	0.9997764364	0.08270370907
379	0.9997764364	0.08256669149
380	0.9997764364	0.08227266001
381	0.9997764364	0.08169517225
382	0.9997764364	0.08108626658
383	0.9997764364	0.08064729728
384	0.9997764364	0.08042387774
385	0.9997764364	0.08025417545
386	0.9997764364	0.07995125951
387	0.9997764364	0.07946884404
388	0.9997764364	0.07891887116
389	0.9997764364	0.07828809792
390	0.9998882182	0.07799443049
391	0.9998882182	0.07764257263
392	0.9998882182	0.07712003417
393	0.9998882182	0.07673479275
394	0.9998882182	0.07627549684
395	0.9998882182	0.07611109906
396	0.9998882182	0.07556307921
